fold,R2,RMSE,MAE
1,0.3211603624925553,0.8364967265329107,0.645562274378608
2,0.43447867478757574,0.8729072553333844,0.6555678969073698
3,0.28868975983637146,0.8377363098481707,0.6445291035843113
4,0.455410933224878,0.9369594270607662,0.7119713280171985
5,0.49944794219682576,0.8593616215395624,0.6701532519501123
6,0.44357787932311654,0.8498747067353003,0.6509525631836812
7,0.45519534920330995,0.8888343315604009,0.6759441004895965
8,0.49164147246842393,0.8403893470819201,0.6456251284780393
9,0.396374381365873,0.8157363352938684,0.6389435515521527
10,0.41453433246165483,0.9407938853473928,0.7013138726922437
